appearance_id,game_id,player_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2224728_119169,2224728,119169,2012-07-13,Aron Johannsson,DK1,0,0,0,0,90
2224732_161244,2224732,161244,2012-07-14,Conor O'Brien,DK1,0,0,1,0,90
2224729_39467,2224729,39467,2012-07-15,Clarence Goodson,DK1,0,0,0,0,90
2232104_119169,2232104,119169,2012-07-19,Aron Johannsson,ELQ,0,0,0,0,74
2219794_39475,2219794,39475,2012-07-22,Sacha Kljestan,BESC,0,0,0,0,3
2224560_39467,2224560,39467,2012-07-22,Clarence Goodson,DK1,1,0,0,0,90
2224564_46472,2224564,46472,2012-07-22,Charlie Davies,DK1,0,0,0,0,21
2224569_161244,2224569,161244,2012-07-22,Conor O'Brien,DK1,1,0,0,1,90
2224568_119169,2224568,119169,2012-07-23,Aron Johannsson,DK1,0,0,0,0,73
2244352_119169,2244352,119169,2012-07-26,Aron Johannsson,ELQ,0,0,0,0,43
2224572_161244,2224572,161244,2012-07-28,Conor O'Brien,DK1,0,0,0,0,90
2224567_119169,2224567,119169,2012-07-29,Aron Johannsson,DK1,0,0,0,0,56
2224567_46472,2224567,46472,2012-07-29,Charlie Davies,DK1,0,0,0,0,19
2224574_39897,2224574,39897,2012-07-29,Michael Parkhurst,DK1,1,0,0,1,78
2224570_39467,2224570,39467,2012-07-30,Clarence Goodson,DK1,1,0,0,0,90
2246630_39475,2246630,39475,2012-08-01,Sacha Kljestan,CLQ,0,0,0,0,28
2247088_1335,2247088,1335,2012-08-02,Steven Cherundolo,ELQ,0,0,0,0,90
2224578_39897,2224578,39897,2012-08-04,Michael Parkhurst,DK1,1,0,0,0,90
2229921_39475,2229921,39475,2012-08-04,Sacha Kljestan,BE1,0,0,0,0,9
2224580_119169,2224580,119169,2012-08-05,Aron Johannsson,DK1,0,0,1,0,74
2224580_39467,2224580,39467,2012-08-05,Clarence Goodson,DK1,1,0,0,0,90
2224584_46472,2224584,46472,2012-08-05,Charlie Davies,DK1,0,0,0,0,45
2224575_161244,2224575,161244,2012-08-06,Conor O'Brien,DK1,0,0,0,0,85
2246635_39475,2246635,39475,2012-08-08,Sacha Kljestan,CLQ,0,0,1,2,90
2247100_1335,2247100,1335,2012-08-09,Steven Cherundolo,ELQ,0,0,0,0,90
2224583_39897,2224583,39897,2012-08-11,Michael Parkhurst,DK1,0,0,1,1,90
2224579_161244,2224579,161244,2012-08-12,Conor O'Brien,DK1,1,0,0,0,90
2224582_119169,2224582,119169,2012-08-12,Aron Johannsson,DK1,0,0,0,0,66
2224740_39475,2224740,39475,2012-08-12,Sacha Kljestan,BE1,0,0,0,0,24
2250176_39378,2250176,39378,2012-08-12,Jozy Altidore,NL1,0,0,2,0,84
2224581_46472,2224581,46472,2012-08-13,Charlie Davies,DK1,0,0,0,0,20
2224541_46472,2224541,46472,2012-08-18,Charlie Davies,DK1,0,0,0,0,18
2224590_39467,2224590,39467,2012-08-18,Clarence Goodson,DK1,0,0,1,0,90
2224761_39475,2224761,39475,2012-08-18,Sacha Kljestan,BE1,0,0,0,0,9
2230141_3476,2230141,3476,2012-08-18,Brad Friedel,GB1,0,0,0,0,90
2221641_1335,2221641,1335,2012-08-19,Steven Cherundolo,DFB,0,0,0,0,62
2221771_49723,2221771,49723,2012-08-19,Timothy Chandler,DFB,0,0,0,0,120
2224591_119169,2224591,119169,2012-08-19,Aron Johannsson,DK1,0,0,0,0,71
2224591_39897,2224591,39897,2012-08-19,Michael Parkhurst,DK1,0,0,1,0,90
2250183_39378,2250183,39378,2012-08-19,Jozy Altidore,NL1,0,0,2,0,90
2250793_73427,2250793,73427,2012-08-19,Caleb Patterson-Sewell,PO1,0,0,0,0,90
2224540_161244,2224540,161244,2012-08-20,Conor O'Brien,DK1,0,0,1,0,90
2230144_4267,2230144,4267,2012-08-20,Tim Howard,GB1,0,0,0,0,90
2254392_39475,2254392,39475,2012-08-22,Sacha Kljestan,CLQ,0,0,0,0,90
2254932_39378,2254932,39378,2012-08-23,Jozy Altidore,ELQ,0,0,0,0,90
2254990_1335,2254990,1335,2012-08-23,Steven Cherundolo,ELQ,0,0,0,1,90
2224539_161244,2224539,161244,2012-08-24,Conor O'Brien,DK1,0,0,0,0,90
2224539_39897,2224539,39897,2012-08-24,Michael Parkhurst,DK1,0,0,0,1,90
2222537_31041,2222537,31041,2012-08-25,Fabian Johnson,L1,0,0,0,0,90
2222541_49723,2222541,49723,2012-08-25,Timothy Chandler,L1,0,0,0,0,90
2224537_46472,2224537,46472,2012-08-25,Charlie Davies,DK1,0,0,0,0,1
2224755_39475,2224755,39475,2012-08-25,Sacha Kljestan,BE1,0,0,0,0,90
2225445_4267,2225445,4267,2012-08-25,Tim Howard,GB1,0,0,0,0,90
2225445_61575,2225445,61575,2012-08-25,Eric Lichaj,GB1,0,0,0,1,31
2225448_3476,2225448,3476,2012-08-25,Brad Friedel,GB1,0,0,0,0,90
2222536_1321,2222536,1321,2012-08-26,Jermaine Jones,L1,1,0,0,1,90
2222536_1335,2222536,1335,2012-08-26,Steven Cherundolo,L1,0,0,0,0,90
2224538_39467,2224538,39467,2012-08-26,Clarence Goodson,DK1,1,0,0,0,90
2225451_31642,2225451,31642,2012-08-26,Geoff Cameron,GB1,0,0,0,0,90
2240044_73427,2240044,73427,2012-08-26,Caleb Patterson-Sewell,PO1,0,0,0,0,90
2250191_39378,2250191,39378,2012-08-26,Jozy Altidore,NL1,0,0,0,0,81
2251268_30593,2251268,30593,2012-08-26,Michael Bradley,IT1,1,0,0,1,90
2224542_119169,2224542,119169,2012-08-27,Aron Johannsson,DK1,0,0,4,0,68
2254396_39475,2254396,39475,2012-08-28,Sacha Kljestan,CLQ,1,0,0,0,90
2254933_39378,2254933,39378,2012-08-30,Jozy Altidore,ELQ,0,0,0,0,60
2254991_1335,2254991,1335,2012-08-30,Steven Cherundolo,ELQ,0,0,0,0,70
2224554_161244,2224554,161244,2012-08-31,Conor O'Brien,DK1,0,0,0,0,90
2224556_119169,2224556,119169,2012-09-01,Aron Johannsson,DK1,0,0,2,0,52
2225454_3476,2225454,3476,2012-09-01,Brad Friedel,GB1,0,0,0,0,90
2225472_4267,2225472,4267,2012-09-01,Tim Howard,GB1,0,0,0,0,90
2225474_31642,2225474,31642,2012-09-01,Geoff Cameron,GB1,0,0,0,0,90
2231386_31041,2231386,31041,2012-09-01,Fabian Johnson,L1,0,0,0,0,90
2231386_38383,2231386,38383,2012-09-01,Danny Williams,L1,0,0,0,0,45
2231387_49723,2231387,49723,2012-09-01,Timothy Chandler,L1,0,0,0,0,90
2231391_1321,2231391,1321,2012-09-01,Jermaine Jones,L1,0,0,1,0,90
2224543_46472,2224543,46472,2012-09-02,Charlie Davies,DK1,0,0,0,0,20
2224546_39467,2224546,39467,2012-09-02,Clarence Goodson,DK1,0,0,0,0,90
2224546_39897,2224546,39897,2012-09-02,Michael Parkhurst,DK1,0,0,0,0,90
2224746_39475,2224746,39475,2012-09-02,Sacha Kljestan,BE1,0,0,0,0,90
2225453_39471,2225453,39471,2012-09-02,Brad Guzan,GB1,1,0,0,0,90
2225453_61575,2225453,61575,2012-09-02,Eric Lichaj,GB1,1,0,0,0,90
2231385_1335,2231385,1335,2012-09-02,Steven Cherundolo,L1,0,0,0,0,90
2250202_39378,2250202,39378,2012-09-02,Jozy Altidore,NL1,0,0,0,0,90
2224551_39897,2224551,39897,2012-09-15,Michael Parkhurst,DK1,0,0,1,0,90
2224553_161244,2224553,161244,2012-09-15,Conor O'Brien,DK1,0,0,0,0,90
2224813_39475,2224813,39475,2012-09-15,Sacha Kljestan,BE1,0,0,0,0,90
2225463_31642,2225463,31642,2012-09-15,Geoff Cameron,GB1,0,0,0,0,6
2225471_39471,2225471,39471,2012-09-15,Brad Guzan,GB1,0,0,0,0,90
2225471_61575,2225471,61575,2012-09-15,Eric Lichaj,GB1,1,0,0,0,90
2231419_49723,2231419,49723,2012-09-15,Timothy Chandler,L1,0,0,0,0,90
2231422_1321,2231422,1321,2012-09-15,Jermaine Jones,L1,0,0,0,0,90
2231425_1335,2231425,1335,2012-09-15,Steven Cherundolo,L1,0,0,0,0,90
2224550_39467,2224550,39467,2012-09-16,Clarence Goodson,DK1,0,0,0,0,90
2224559_46472,2224559,46472,2012-09-16,Charlie Davies,DK1,0,0,0,0,31
2225466_27577,2225466,27577,2012-09-16,Clint Dempsey,GB1,0,0,0,0,12
2225466_3476,2225466,3476,2012-09-16,Brad Friedel,GB1,0,0,0,0,90
2231415_31041,2231415,31041,2012-09-16,Fabian Johnson,L1,1,0,0,1,90
2231415_38383,2231415,38383,2012-09-16,Danny Williams,L1,1,0,0,0,90
2250210_39378,2250210,39378,2012-09-16,Jozy Altidore,NL1,0,0,3,1,90
2224557_119169,2224557,119169,2012-09-17,Aron Johannsson,DK1,0,0,2,1,90
2225469_4267,2225469,4267,2012-09-17,Tim Howard,GB1,0,0,0,0,90
2262150_1321,2262150,1321,2012-09-18,Jermaine Jones,CL,1,0,0,0,90
2262152_39475,2262152,39475,2012-09-18,Sacha Kljestan,CL,1,0,0,0,90
2262156_39897,2262156,39897,2012-09-19,Michael Parkhurst,CL,0,0,0,0,90
2262399_27577,2262399,27577,2012-09-20,Clint Dempsey,EL,0,0,0,0,76
2262402_1335,2262402,1335,2012-09-20,Steven Cherundolo,EL,0,0,0,0,90
2224552_119169,2224552,119169,2012-09-21,Aron Johannsson,DK1,0,0,1,0,90
2224552_161244,2224552,161244,2012-09-21,Conor O'Brien,DK1,0,0,1,1,90
2231426_49723,2231426,49723,2012-09-21,Timothy Chandler,L1,0,0,0,0,70
2224558_39897,2224558,39897,2012-09-22,Michael Parkhurst,DK1,0,0,0,0,82
2224858_39475,2224858,39475,2012-09-22,Sacha Kljestan,BE1,0,0,0,0,2
2225461_31642,2225461,31642,2012-09-22,Geoff Cameron,GB1,0,0,0,0,90
2225481_4267,2225481,4267,2012-09-22,Tim Howard,GB1,0,0,0,0,90
2225482_39471,2225482,39471,2012-09-22,Brad Guzan,GB1,1,0,0,0,90
2225482_61575,2225482,61575,2012-09-22,Eric Lichaj,GB1,1,0,0,0,68
2231423_1321,2231423,1321,2012-09-22,Jermaine Jones,L1,0,0,0,0,78
2224563_39467,2224563,39467,2012-09-23,Clarence Goodson,DK1,0,1,0,0,90
2225483_27577,2225483,27577,2012-09-23,Clint Dempsey,GB1,0,0,0,0,88
2225483_3476,2225483,3476,2012-09-23,Brad Friedel,GB1,0,0,0,0,90
2231420_1335,2231420,1335,2012-09-23,Steven Cherundolo,L1,0,0,0,0,90
2231420_31041,2231420,31041,2012-09-23,Fabian Johnson,L1,0,0,1,0,90
2231420_38383,2231420,38383,2012-09-23,Danny Williams,L1,1,0,1,0,90
2250220_39378,2250220,39378,2012-09-23,Jozy Altidore,NL1,0,0,0,0,90
2265171_46472,2265171,46472,2012-09-25,Charlie Davies,DKP,1,0,0,0,90
2231400_1335,2231400,1335,2012-09-26,Steven Cherundolo,L1,0,0,0,0,90
2231400_49723,2231400,49723,2012-09-26,Timothy Chandler,L1,0,0,1,0,90
2231405_31041,2231405,31041,2012-09-26,Fabian Johnson,L1,0,0,1,0,90
2231405_38383,2231405,38383,2012-09-26,Danny Williams,L1,1,0,0,0,90
2240551_39378,2240551,39378,2012-09-27,Jozy Altidore,NLP,0,0,1,0,90
2224610_39897,2224610,39897,2012-09-28,Michael Parkhurst,DK1,0,0,0,1,90
2231397_1321,2231397,1321,2012-09-28,Jermaine Jones,L1,1,0,0,0,73
2225477_4267,2225477,4267,2012-09-29,Tim Howard,GB1,0,0,0,0,90
2225494_31642,2225494,31642,2012-09-29,Geoff Cameron,GB1,0,0,0,0,90
2225497_27577,2225497,27577,2012-09-29,Clint Dempsey,GB1,0,0,1,0,69
2225497_3476,2225497,3476,2012-09-29,Brad Friedel,GB1,0,0,0,0,90
2231394_49723,2231394,49723,2012-09-29,Timothy Chandler,L1,0,0,0,0,90
2231396_31041,2231396,31041,2012-09-29,Fabian Johnson,L1,0,0,0,0,90
2231396_38383,2231396,38383,2012-09-29,Danny Williams,L1,1,0,0,0,90
2231399_1335,2231399,1335,2012-09-29,Steven Cherundolo,L1,0,0,0,0,90
2224603_119169,2224603,119169,2012-09-30,Aron Johannsson,DK1,0,0,1,0,90
2225476_39471,2225476,39471,2012-09-30,Brad Guzan,GB1,0,0,0,0,90
2250227_39378,2250227,39378,2012-09-30,Jozy Altidore,NL1,0,0,1,1,90
2224612_161244,2224612,161244,2012-10-01,Conor O'Brien,DK1,0,0,0,0,90
2262164_39897,2262164,39897,2012-10-02,Michael Parkhurst,CL,0,0,0,0,90
2262176_39475,2262176,39475,2012-10-03,Sacha Kljestan,CL,0,0,0,0,45
2262411_27577,2262411,27577,2012-10-04,Clint Dempsey,EL,0,0,0,0,67
2262416_1335,2262416,1335,2012-10-04,Steven Cherundolo,EL,0,0,0,0,90
2224614_39897,2224614,39897,2012-10-05,Michael Parkhurst,DK1,0,0,0,0,81
2224609_119169,2224609,119169,2012-10-06,Aron Johannsson,DK1,0,0,1,0,65
2224609_161244,2224609,161244,2012-10-06,Conor O'Brien,DK1,0,0,0,0,90
2225501_4267,2225501,4267,2012-10-06,Tim Howard,GB1,0,0,0,0,90
2231402_31041,2231402,31041,2012-10-06,Fabian Johnson,L1,0,0,0,0,90
2231402_38383,2231402,38383,2012-10-06,Danny Williams,L1,1,0,0,0,90
2231434_49723,2231434,49723,2012-10-06,Timothy Chandler,L1,1,0,0,0,90
2225491_31642,2225491,31642,2012-10-07,Geoff Cameron,GB1,0,0,0,0,90
2225491_50987,2225491,50987,2012-10-07,Maurice Edu,GB1,0,0,0,0,10
2225500_27577,2225500,27577,2012-10-07,Clint Dempsey,GB1,0,0,0,1,82
2225500_39471,2225500,39471,2012-10-07,Brad Guzan,GB1,0,0,0,0,90
2231435_1335,2231435,1335,2012-10-07,Steven Cherundolo,L1,1,0,0,0,81
2250239_39378,2250239,39378,2012-10-07,Jozy Altidore,NL1,2,0,0,0,52
2251330_30593,2251330,30593,2012-10-07,Michael Bradley,IT1,0,0,1,0,73
2224617_39897,2224617,39897,2012-10-19,Michael Parkhurst,DK1,0,0,0,0,17
